Contcod,Group,R Rinc,Quintile,Pop
GTM,1,82,0,0.8525211
UGA,1,85,0,1.6482365
SLV,1,87,0,0.5189565
LSO,1,99,0,0.15799
MRT,1,104,0,0.1892328
HND,1,119,0,0.4618245
UGA,2,133,0,1.6482365
NGA,1,136,0,9.2731304
CRI,1,147,0,0.2916566
CHN-R,1,157,0,81.9172096
PAK,1,165,0,10.5332464
GHA,1,166,0,1.4010951
IDN-U,1,167,0,5.126596
LSO,2,174,0,0.15799
GTM,2,177,0,0.8525211
IDN-R,1,178,0,12.674084
UGA,3,180,0,1.6482365
BGD,1,185,0,10.006232
BRA,1,196,0,14.4470384
HND,2,196,0,0.4618245
IND-R,1,203,1,62.81072
UZB,1,203,1,1.956118
MRT,2,205,1,0.1892328
CHN-R,2,207,1,81.9172096
IND-U,1,210,1,20.9592464
NGA,2,212,1,9.2731304
PAK,2,213,1,10.5332464
IDN-U,2,221,1,5.126596
IDN-R,2,230,1,12.674084
UGA,4,230,1,1.6482365
DOM,1,233,1,0.6907171
BGD,2,235,1,10.006232
ECU,1,235,1,0.9792658
GHA,2,238,1,1.4010951
UZB,2,238,1,1.956118
CHN-R,3,248,2,81.9172096
PHL,1,255,2,5.8572072
UZB,3,255,2,1.956118
PAK,3,256,2,10.5332464
LSO,3,257,2,0.15799
IDN-R,3,266,2,12.674084
IDN-U,3,268,2,5.126596
IND-R,2,269,2,62.81072
IND-U,2,269,2,20.9592464
NGA,3,269,2,9.2731304
BGD,3,277,2,10.006232
UZB,4,280,2,1.956118
GTM,3,281,2,0.8525211
UGA,5,283,2,1.6482365
HND,3,284,2,0.4618245
CHN-R,4,285,3,81.9172096
CHN-U,1,291,3,28.245792
PAK,4,298,3,10.5332464
IDN-R,4,300,3,12.674084
MRT,3,301,3,0.1892328
GHA,3,303,3,1.4010951
NZL,1,306,3,0.335
IDN-U,4,314,3,5.126596
IND-R,3,315,3,62.81072
BGD,4,316,3,10.006232
CHN-R,5,321,4,81.9172096
IND-U,3,324,4,20.9592464
NGA,4,326,4,9.2731304
UZB,5,326,4,1.956118
PHL,2,331,4,5.8572072
CIV,1,336,4,1.1694318
IDN-R,5,337,4,12.674084
COL,1,340,4,3.191325
PAK,5,340,4,10.5332464
LKA,1,343,4,1.6599
THA,1,343,4,5.5370528
CHL,1,344,4,1.2733409
UGA,6,346,4,1.6482365
LSO,4,352,4,0.15799
BGD,5,355,4,10.006232
IND-R,4,357,5,62.81072
CHN-R,6,360,5,81.9172096
IDN-U,5,361,5,5.126596
GHA,4,364,5,1.4010951
UZB,6,375,5,1.956118
