Contcod,Group,Measure Names,R Rinc,Running Sum of Pop
CZE,7,Running Sum of Population,6245,3475.7188329
BOL,10,Running Sum of Population,6312,3476.3551799
CYP,7,Running Sum of Population,6373,3476.428833
ESP,6,Running Sum of Population,6382,3480.3004178
BEL,3,Running Sum of Population,6405,3481.2905842
SVN,7,Running Sum of Population,6477,3481.4901038
LVA,5,Running Sum of Population,6486,3481.7554472
EST,8,Running Sum of Population,6507,3481.9116372
BGR,7,Running Sum of Population,6575,3482.8097818
AUS,3,Running Sum of Population,6589,3484.4630018
VEN,9,Running Sum of Population,6591,3486.3469296
NLD,4,Running Sum of Population,6619,3487.822939
PRT,8,Running Sum of Population,6622,3488.8249
FIN,3,Running Sum of Population,6629,3489.3195481
ISR,7,Running Sum of Population,6645,3489.7637481
CAN,2,Running Sum of Population,6751,3492.4532481
CZE,8,Running Sum of Population,6901,3493.4887757
GRC,5,Running Sum of Population,6922,3494.492474
SVK,9,Running Sum of Population,6944,3495.0175336
IRL,8,Running Sum of Population,6951,3495.3700285
BLR,10,Running Sum of Population,7030,3496.3840285
KOR,7,Running Sum of Population,7043,3500.5815285
GBR,5,Running Sum of Population,7211,3506.2743613
LVA,6,Running Sum of Population,7211,3506.5397047
LTU,10,Running Sum of Population,7233,3506.9052096
DNK,2,Running Sum of Population,7252,3507.4181612
SLV,10,Running Sum of Population,7257,3507.9371177
SVN,8,Running Sum of Population,7258,3508.1366373
ITA,6,Running Sum of Population,7273,3513.7995661
BEL,4,Running Sum of Population,7332,3514.7897325
ESP,7,Running Sum of Population,7340,3518.6613173
FRA,4,Running Sum of Population,7389,3524.4282105
BGR,8,Running Sum of Population,7400,3525.3263551
FIN,4,Running Sum of Population,7408,3525.8210032
EST,9,Running Sum of Population,7424,3525.9771932
DEU,2,Running Sum of Population,7446,3533.7916548
CYP,8,Running Sum of Population,7473,3533.8653079
JOR,10,Running Sum of Population,7473,3534.1601079
NLD,5,Running Sum of Population,7498,3535.6361173
JPN,2,Running Sum of Population,7621,3547.8974173
ARG,8,Running Sum of Population,7645,3551.0703303
NZL,4,Running Sum of Population,7676,3551.4053303
AUS,4,Running Sum of Population,7711,3553.0585503
JAM,10,Running Sum of Population,7733,3553.2941903
CZE,9,Running Sum of Population,7904,3554.3297179
URY,9,Running Sum of Population,7990,3554.6365345
ROU,10,Running Sum of Population,8002,3556.9423007
LVA,7,Running Sum of Population,8017,3557.2076441
ISR,8,Running Sum of Population,8023,3557.6518441
GRC,6,Running Sum of Population,8075,3558.6555424
CRI,10,Running Sum of Population,8095,3558.947199
IRN,10,Running Sum of Population,8150,3564.1282734
FIN,5,Running Sum of Population,8168,3564.6229215
KAZ,10,Running Sum of Population,8168,3566.2360047
USA,3,Running Sum of Population,8180,3590.6859055
BEL,5,Running Sum of Population,8237,3591.6760719
KOR,8,Running Sum of Population,8302,3595.8735719
GBR,6,Running Sum of Population,8324,3601.5664047
AUT,2,Running Sum of Population,8333,3602.3249364
PRT,9,Running Sum of Population,8364,3603.3268974
ITA,7,Running Sum of Population,8443,3608.9898262
SVN,9,Running Sum of Population,8489,3609.1893458
CAN,3,Running Sum of Population,8503,3611.8788458
FRA,5,Running Sum of Population,8542,3617.645739
DNK,3,Running Sum of Population,8559,3618.1586906
ESP,8,Running Sum of Population,8566,3622.0302754
JPN,3,Running Sum of Population,8612,3634.2915754
POL,10,Running Sum of Population,8668,3638.0740242
BGR,9,Running Sum of Population,8678,3638.9721688
NLD,6,Running Sum of Population,8691,3640.4481782
DEU,3,Running Sum of Population,8744,3648.2626398
ECU,10,Running Sum of Population,8778,3649.2419056
IRL,9,Running Sum of Population,8864,3649.5944005
AUS,5,Running Sum of Population,8904,3651.2476205
FIN,6,Running Sum of Population,8953,3651.7422686
LVA,8,Running Sum of Population,8968,3652.007612
BEL,6,Running Sum of Population,9132,3652.9977784
TUR,10,Running Sum of Population,9155,3658.2256284
CYP,9,Running Sum of Population,9305,3658.2992815
GRC,7,Running Sum of Population,9347,3659.3029798
SVK,10,Running Sum of Population,9365,3659.8280394
JPN,4,Running Sum of Population,9507,3672.0893394
GBR,7,Running Sum of Population,9557,3677.7821722
EST,10,Running Sum of Population,9591,3677.9383622
DNK,4,Running Sum of Population,9656,3678.4513138
AUT,3,Running Sum of Population,9790,3679.2098455
FRA,6,Running Sum of Population,9790,3684.9767387
NZL,5,Running Sum of Population,9841,3685.3117387
ITA,8,Running Sum of Population,9878,3690.9746675
FIN,7,Running Sum of Population,9909,3691.4693156
TTO,10,Running Sum of Population,9914,3691.589438
CAN,4,Running Sum of Population,9973,3694.278938
NLD,7,Running Sum of Population,10021,3695.7549474
DEU,4,Running Sum of Population,10086,3703.569409
ISR,9,Running Sum of Population,10152,3704.013609
BEL,7,Running Sum of Population,10195,3705.0037754
KOR,9,Running Sum of Population,10216,3709.2012754
LVA,9,Running Sum of Population,10250,3709.4666188
ARG,9,Running Sum of Population,10280,3712.6395318
USA,4,Running Sum of Population,10312,3737.0894326
MYS,10,Running Sum of Population,10335,3738.8094394
CZE,10,Running Sum of Population,10449,3739.844967
AUS,6,Running Sum of Population,10469,3741.498187
JPN,5,Running Sum of Population,10495,3753.759487
ESP,9,Running Sum of Population,10586,3757.6310718
PRY,10,Running Sum of Population,10604,3758.0334346
DNK,5,Running Sum of Population,10751,3758.5463862
AUT,4,Running Sum of Population,11059,3759.3049179
FIN,8,Running Sum of Population,11112,3759.799566
GRC,8,Running Sum of Population,11164,3760.8032643
FRA,7,Running Sum of Population,11236,3766.5701575
GBR,8,Running Sum of Population,11239,3772.2629903
CAN,5,Running Sum of Population,11417,3774.9524903
DEU,5,Running Sum of Population,11444,3782.7669519
COL,10,Running Sum of Population,11476,3785.9582769
BEL,8,Running Sum of Population,11596,3786.9484433
JPN,6,Running Sum of Population,11684,3799.2097433
NLD,8,Running Sum of Population,11893,3800.6857527
DNK,6,Running Sum of Population,11967,3801.1987043
ITA,9,Running Sum of Population,12109,3806.8616331
NZL,6,Running Sum of Population,12244,3807.1966331
AUT,5,Running Sum of Population,12331,3807.9551648
AUS,7,Running Sum of Population,12345,3809.6083848
BGR,10,Running Sum of Population,12424,3810.5065294
USA,5,Running Sum of Population,12441,3834.9564302
SVN,10,Running Sum of Population,12548,3835.1559498
FIN,9,Running Sum of Population,12873,3835.6505979
DEU,6,Running Sum of Population,13011,3843.4650595
CAN,6,Running Sum of Population,13101,3846.1545595
JPN,7,Running Sum of Population,13175,3858.4158595
FRA,8,Running Sum of Population,13195,3864.1827527
CHL,10,Running Sum of Population,13336,3865.4560936
DNK,7,Running Sum of Population,13387,3865.9690452
GBR,9,Running Sum of Population,13674,3871.661878
AUT,6,Running Sum of Population,13689,3872.4204097
LVA,10,Running Sum of Population,13712,3872.6857531
BEL,9,Running Sum of Population,13755,3873.6759195
GRC,9,Running Sum of Population,13798,3874.6796178
PRT,10,Running Sum of Population,14080,3875.6815788
NZL,7,Running Sum of Population,14321,3876.0165788
DEU,7,Running Sum of Population,14686,3883.8310404
AUS,8,Running Sum of Population,14849,3885.4842604
USA,6,Running Sum of Population,14861,3909.9341612
JPN,8,Running Sum of Population,15075,3922.1954612
NLD,9,Running Sum of Population,15075,3923.6714706
BRA,10,Running Sum of Population,15081,3938.118509
AUT,7,Running Sum of Population,15204,3938.8770407
DNK,8,Running Sum of Population,15205,3939.3899923
CAN,7,Running Sum of Population,15207,3942.0794923
CYP,10,Running Sum of Population,15540,3942.1531454
IRL,10,Running Sum of Population,15603,3942.5056403
VEN,10,Running Sum of Population,15618,3944.3895681
URY,10,Running Sum of Population,16242,3944.6963847
FRA,9,Running Sum of Population,16274,3950.4632779
ISR,10,Running Sum of Population,16920,3950.9074779
NZL,8,Running Sum of Population,16942,3951.2424779
DEU,8,Running Sum of Population,16973,3959.0569395
AUT,8,Running Sum of Population,17063,3959.8154712
ESP,10,Running Sum of Population,17723,3963.687056
FIN,10,Running Sum of Population,17806,3964.1817041
USA,7,Running Sum of Population,17860,3988.6316049
DNK,9,Running Sum of Population,17907,3989.1445565
JPN,9,Running Sum of Population,18078,4001.4058565
CAN,8,Running Sum of Population,18087,4004.0953565
AUS,9,Running Sum of Population,18784,4005.7485765
KOR,10,Running Sum of Population,19432,4009.9460765
AUT,9,Running Sum of Population,19638,4010.7046082
ITA,10,Running Sum of Population,19681,4016.367537
DEU,9,Running Sum of Population,20268,4024.1819986
BEL,10,Running Sum of Population,20652,4025.172165
NZL,9,Running Sum of Population,20687,4025.507165
USA,8,Running Sum of Population,21485,4049.9570658
ARG,10,Running Sum of Population,22020,4053.1299788
GBR,10,Running Sum of Population,22217,4058.8228116
CAN,9,Running Sum of Population,22462,4061.5123116
NLD,10,Running Sum of Population,22806,4062.988321
GRC,10,Running Sum of Population,23636,4063.9920193
FRA,10,Running Sum of Population,26635,4069.7589125
JPN,10,Running Sum of Population,26920,4082.0202125
USA,9,Running Sum of Population,27285,4106.4701133
AUT,10,Running Sum of Population,27312,4107.228645
DNK,10,Running Sum of Population,27387,4107.7415966
AUS,10,Running Sum of Population,28953,4109.3948166
NZL,10,Running Sum of Population,29393,4109.7298166
DEU,10,Running Sum of Population,31358,4117.5442782
CAN,10,Running Sum of Population,34682,4120.2337782
USA,10,Running Sum of Population,43279,4144.683679
