Contcod,Group,Measure Names,R Rinc,Running Sum of Pop
CHN-U,4,Running Sum of Population,539,1840.5369767
THA,3,Running Sum of Population,541,1846.0740295
GTM,5,Running Sum of Population,545,1846.9265506
MYS,1,Running Sum of Population,557,1848.6465574
CHN-R,9,Running Sum of Population,562,1930.563767
IDN-U,8,Running Sum of Population,562,1935.690363
NGA,7,Running Sum of Population,578,1944.9634934
GHA,7,Running Sum of Population,581,1946.3645885
IDN-R,9,Running Sum of Population,585,1959.0386725
COL,2,Running Sum of Population,588,1962.2299975
EGY,2,Running Sum of Population,588,1967.6733695
UZB,9,Running Sum of Population,590,1969.6294875
IND-U,7,Running Sum of Population,591,1990.5887339
PHL,5,Running Sum of Population,592,1996.4459411
TTO,1,Running Sum of Population,592,1996.5660635
IND-R,8,Running Sum of Population,594,2059.3767835
CIV,3,Running Sum of Population,601,2060.5462153
DZA,2,Running Sum of Population,602,2062.9497389
MRT,6,Running Sum of Population,604,2063.1389717
CHN-U,5,Running Sum of Population,605,2091.3847637
LSO,6,Running Sum of Population,605,2091.5427537
LKA,4,Running Sum of Population,609,2093.2026537
TUR,1,Running Sum of Population,615,2098.4305037
BGD,9,Running Sum of Population,622,2108.4367357
DOM,3,Running Sum of Population,624,2109.1274528
CRI,2,Running Sum of Population,627,2109.4191094
CHL,2,Running Sum of Population,641,2110.6924503
PAK,9,Running Sum of Population,648,2121.2256967
TUN,2,Running Sum of Population,650,2122.0114586
BOL,2,Running Sum of Population,656,2122.6478056
THA,4,Running Sum of Population,656,2128.1848584
HND,6,Running Sum of Population,660,2128.6466829
CHN-U,6,Running Sum of Population,674,2156.8924749
BRA,3,Running Sum of Population,691,2171.3395133
LKA,5,Running Sum of Population,691,2172.9994133
GHA,8,Running Sum of Population,694,2174.4005084
EGY,3,Running Sum of Population,702,2179.8438804
IDN-U,9,Running Sum of Population,703,2184.9704764
IND-U,8,Running Sum of Population,705,2205.9297228
PHL,6,Running Sum of Population,706,2211.78693
NGA,8,Running Sum of Population,712,2221.0600604
UGA,9,Running Sum of Population,716,2222.7082969
GTM,6,Running Sum of Population,720,2223.560818
IND-R,9,Running Sum of Population,723,2286.371538
CIV,4,Running Sum of Population,729,2287.5409698
SLV,3,Running Sum of Population,732,2288.0599263
MRT,7,Running Sum of Population,737,2288.2491591
DZA,3,Running Sum of Population,746,2290.6526827
JAM,2,Running Sum of Population,751,2290.8883227
CHN-U,7,Running Sum of Population,753,2319.1341147
PRY,1,Running Sum of Population,764,2319.5364775
IRN,2,Running Sum of Population,765,2324.7175519
ECU,3,Running Sum of Population,783,2325.6968177
LKA,6,Running Sum of Population,783,2327.3567177
THA,5,Running Sum of Population,787,2332.8937705
VEN,2,Running Sum of Population,789,2334.7776983
LSO,7,Running Sum of Population,791,2334.9356883
MYS,2,Running Sum of Population,809,2336.6556951
EGY,4,Running Sum of Population,810,2342.0990671
DOM,4,Running Sum of Population,823,2342.7897842
JOR,1,Running Sum of Population,835,2343.0845842
UZB,10,Running Sum of Population,835,2345.0407022
TUN,3,Running Sum of Population,846,2345.8264641
PHL,7,Running Sum of Population,852,2351.6836713
BOL,3,Running Sum of Population,853,2352.3200183
CHN-U,8,Running Sum of Population,855,2380.5658103
COL,3,Running Sum of Population,858,2383.7571353
CHL,3,Running Sum of Population,864,2385.0304762
CIV,5,Running Sum of Population,864,2386.199908
HND,7,Running Sum of Population,865,2386.6617325
GHA,9,Running Sum of Population,881,2388.0628276
DZA,4,Running Sum of Population,886,2390.4663512
LKA,7,Running Sum of Population,895,2392.1262512
IND-U,9,Running Sum of Population,898,2413.0854976
TUR,2,Running Sum of Population,918,2418.3133476
MRT,8,Running Sum of Population,919,2418.5025804
EGY,5,Running Sum of Population,922,2423.9459524
NGA,9,Running Sum of Population,924,2433.2190828
THA,6,Running Sum of Population,944,2438.7561356
BRA,4,Running Sum of Population,945,2453.203174
GTM,7,Running Sum of Population,956,2454.0556951
CRI,3,Running Sum of Population,959,2454.3473517
TTO,2,Running Sum of Population,968,2454.4674741
URY,1,Running Sum of Population,973,2454.7742907
IDN-R,10,Running Sum of Population,986,2467.4483747
JAM,3,Running Sum of Population,999,2467.6840147
CIV,6,Running Sum of Population,1014,2468.8534465
CHN-U,9,Running Sum of Population,1015,2497.0992385
SLV,4,Running Sum of Population,1025,2497.618195
IRN,3,Running Sum of Population,1028,2502.7992694
DZA,5,Running Sum of Population,1036,2505.202793
DOM,5,Running Sum of Population,1037,2505.8935101
TUN,4,Running Sum of Population,1044,2506.679272
EGY,6,Running Sum of Population,1047,2512.122644
LKA,8,Running Sum of Population,1047,2513.782544
PHL,8,Running Sum of Population,1056,2519.6397512
CHN-R,10,Running Sum of Population,1060,2601.5569608
ECU,4,Running Sum of Population,1060,2602.5362266
LSO,8,Running Sum of Population,1064,2602.6942166
BOL,4,Running Sum of Population,1068,2603.3305636
MYS,3,Running Sum of Population,1072,2605.0505704
BGD,10,Running Sum of Population,1091,2615.0568024
JOR,2,Running Sum of Population,1098,2615.3516024
CHL,4,Running Sum of Population,1105,2616.6249433
ARG,1,Running Sum of Population,1107,2619.7978563
VEN,3,Running Sum of Population,1107,2621.6817841
THA,7,Running Sum of Population,1149,2627.2188369
COL,4,Running Sum of Population,1150,2630.4101619
TUR,3,Running Sum of Population,1151,2635.6380119
HND,8,Running Sum of Population,1169,2636.0998364
IRL,1,Running Sum of Population,1189,2636.4523313
CIV,7,Running Sum of Population,1196,2637.6217631
EGY,7,Running Sum of Population,1196,2643.0651351
DZA,6,Running Sum of Population,1205,2645.4686587
MRT,9,Running Sum of Population,1221,2645.6578915
PRY,2,Running Sum of Population,1230,2646.0602543
HUN,1,Running Sum of Population,1243,2647.119903
JAM,4,Running Sum of Population,1248,2647.355543
CRI,4,Running Sum of Population,1252,2647.6471996
IDN-U,10,Running Sum of Population,1257,2652.7737956
PAK,10,Running Sum of Population,1258,2663.307042
BRA,5,Running Sum of Population,1261,2677.7540804
TUN,5,Running Sum of Population,1262,2678.5398423
DOM,6,Running Sum of Population,1285,2679.2305594
LKA,9,Running Sum of Population,1293,2680.8904594
IRN,4,Running Sum of Population,1295,2686.0715338
MEX,2,Running Sum of Population,1298,2694.1725434
GTM,8,Running Sum of Population,1302,2695.0250645
BOL,5,Running Sum of Population,1305,2695.6614115
IND-R,10,Running Sum of Population,1311,2758.4721315
SLV,5,Running Sum of Population,1332,2758.991088
TTO,3,Running Sum of Population,1337,2759.1112104
ECU,5,Running Sum of Population,1352,2760.0904762
MYS,4,Running Sum of Population,1354,2761.810483
JOR,3,Running Sum of Population,1361,2762.105283
CHL,5,Running Sum of Population,1384,2763.378623900
TUR,4,Running Sum of Population,1392,2768.606473900
EGY,8,Running Sum of Population,1399,2774.049845900
PHL,9,Running Sum of Population,1414,2779.907053100
DZA,7,Running Sum of Population,1419,2782.310576700
CIV,8,Running Sum of Population,1443,2783.480008500
THA,8,Running Sum of Population,1443,2789.017061300
VEN,4,Running Sum of Population,1482,2790.900989100
COL,5,Running Sum of Population,1484,2794.092314100
UGA,10,Running Sum of Population,1487,2795.740550600
CHN-U,10,Running Sum of Population,1493,2823.986342600
TUN,6,Running Sum of Population,1510,2824.772104500
JAM,5,Running Sum of Population,1514,2825.007744500
HUN,2,Running Sum of Population,1541,2826.067393200
LSO,9,Running Sum of Population,1562,2826.225383200
NGA,10,Running Sum of Population,1564,2835.498513600
CRI,5,Running Sum of Population,1572,2835.790170200
IRN,5,Running Sum of Population,1581,2840.971244600
BOL,6,Running Sum of Population,1585,2841.607591600
DOM,7,Running Sum of Population,1591,2842.298308700
ISR,1,Running Sum of Population,1614,2842.742508700
GHA,10,Running Sum of Population,1626,2844.143603800
JOR,4,Running Sum of Population,1627,2844.438403800
KAZ,1,Running Sum of Population,1627,2846.051487000
PRY,3,Running Sum of Population,1635,2846.453849800
BLR,1,Running Sum of Population,1637,2847.467849800
TUR,5,Running Sum of Population,1657,2852.695699800
MYS,5,Running Sum of Population,1670,2854.415706600
SLV,6,Running Sum of Population,1670,2854.934663100
POL,1,Running Sum of Population,1684,2858.717111900
URY,2,Running Sum of Population,1684,2859.023928500
ECU,6,Running Sum of Population,1688,2860.003194300
DZA,8,Running Sum of Population,1708,2862.406717900
