Quintile,WeightedRRinc
19,32369.338562726
18,14895.179461813
17,9331.844403941
16,6011.056471601
15,3751.383632665
14,2966.605041037
13,2291.159679533
12,1786.251052097
11,1485.625237258
10,1208.282049200
9,969.850727365
8,844.389489871
7,740.615573384
6,659.425637166
5,576.492439362
4,503.391390071
3,433.990000237
2,369.789907692
1,298.232929468
0,176.160462633
